FID,OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUND,DATAQUALIT,FLAGS,SegStatus,CreateDate,Creator,ModifiedDa,ID,STUDY_TITL,COMPKEY_1,UNIT_ID_UN,DIR_FLOW,LANE,DAYS,Min_NORM_A,Max_NORM_A,Ave_NORM_A,Shape_Leng,ADJUST,Shape__Length
1390,0,"18084,18085",NE RAVENNA BLVD,1631,N,6/30/2020 12:00:00 AM,219,331,3507,3364,3500,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335179,"NE RAVENNA WB BV, NW/O NE 63RD ST",18084,14018/0060,NW,STANDARD,6,0,0,0,833.414919518, ,833.414919517623
1391,0,20555,S JUNEAU ST,247,N,4/7/2020 12:00:00 AM,244,429,4010,3733,6100,Study(Normalized20), ,Not,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334578,"S JUNEAU ST, W/O LAKE WASHINGTON BLVD S",20555,16315/0590,TOTAL,STANDARD,7,0,0,0,310.519256826, ,310.519256826359
1392,0,"20992,20994,20990,20991,20993,20995",S ORCAS ST,261,N,2/6/2020 12:00:00 AM,527,577,6462,6149,4600,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,333972,"S ORCAS ST, E/O 39TH AVE S",20994,16695/0390,TOTAL,STANDARD,7,0,0,0,2533.00258957, ,2533.00258957071
1393,0,"22295,22292,22293,22296,22291,22294",SW HENDERSON ST,105,N,11/13/2020 12:00:00 AM,437,715,6991,6626,7300,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335935,"SW HENDERSON ST, E/O 14TH AVE SW",22295,17790/0130,TOTAL,STANDARD,7,0,0,0,1789.25402979, ,1789.25402979357
1394,0,"18064,18063",NE RAVENNA BLVD,1958,N,6/30/2020 12:00:00 AM,150,212,2353,2190,2300,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335183,"NE RAVENNA EB BV, SE/O NE 63RD ST",18064,14010/0075,SE,STANDARD,6,0,0,0,498.982793106, ,498.982793106319
1395,0,"12842,1054,12325,12328,12326,12327","SMITH ST,1ST AVE N,QUEEN ANNE DR",1265,N,4/7/2020 12:00:00 AM,404,478,5148,4388,7900,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334585,"QUEEN ANNE DR, E/O 2ND AVE N",12327,09320/0020,TOTAL,STANDARD,7,0,0,0,2028.07585761, ,2028.07585761017
1396,0,"7992,7993,7994,7995",6TH AVE S,485,N,2/21/2020 12:00:00 AM,796,689,9138,7691,6600,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334102,"6TH AVE S, S/O S HOLGATE ST",7992,04455/0190,TOTAL,STANDARD,7,0,0,0,2321.87489849, ,2321.87489848883
1397,0,"20691,20692,20690",S LUCILE ST,272,N,10/30/2020 12:00:00 AM,291,556,4755,3951,4800,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335834,"S LUCILE ST, E/O 2ND AVE S",20691,16495/0020,TOTAL,STANDARD,7,0,0,0,1151.7837999, ,1151.78379990149
1398,0,"7321,7316,7320,7323,7314,7322,7317,7315,7325,7318,7324,7319",5TH AVE NE,1794,N,4/14/2020 12:00:00 AM,140,198,1943,1851,3000,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334527,"5TH AVE NE, N/O NE 85TH ST",7320,03895/0850,TOTAL,STANDARD,7,0,0,0,3312.21355642, ,3312.21355641949
1399,0,10658,GLENN WAY SW,321,N,1/27/2020 12:00:00 AM,380,352,3852,0,2900,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,333702,"GLENN WAY SW, SE/O SW OREGON ST",10658,07035/0450,TOTAL,STANDARD,3,0,0,0,739.883353972, ,739.883353965487
