FID,OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUND,DATAQUALIT,FLAGS,SegStatus,CreateDate,Creator,ModifiedDa,ID,STUDY_TITL,COMPKEY_1,UNIT_ID_UN,DIR_FLOW,LANE,DAYS,Min_NORM_A,Max_NORM_A,Ave_NORM_A,Shape_Leng,ADJUST,Shape__Length
615,1016,"13762,13763",YESLER WAY,612,Y,8/6/2014 12:00:00 AM,0,0,6109,5948,6100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,472.527018204, ,472.527018219026
616,1018,"12796,12795,12797,12798",SEWARD PARK AVE S,246,N,1/2/2018 12:00:00 AM,418,264,2941,2649,2900,Study, , ,, ,,0, ,0, , , ,0,0,0,0,2320.27993376, ,2320.27993376407
617,1019,"10211,10210,10209","ELLIOTT AVE W,ELLIOTT AVE",1014,Y,8/18/2014 12:00:00 AM,0,0,20396,17917,20400,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2137.37217617, ,2137.37217617819
618,1021,1012,1ST AVE,841,Y,7/30/2018 12:00:00 AM,893,1093,13544,13195,13100,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,425.979073818, ,425.979073818423
619,1023,"14244,14243,14245",E JOHN ST,1084,N,7/27/2015 12:00:00 AM,0,0,14773,14506,14800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,972.867125632, ,972.867125631906
620,1026,12201,PIKE ST,821,Y,12/1/2015 12:00:00 AM,0,0,9772,9484,9800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,322.046265898, ,322.046265898177
621,1029,"15949,15948,18958","N 85TH ST,NW 85TH ST",1779,N,10/31/2017 12:00:00 AM,1164,1309,18786,18773,18800,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1316.59154504, ,1316.59154502571
622,1030,"11182,11181",LAKE CITY WAY NE,1871,N,,0,0,28500,0,36000,Estimate,WSDOTSR522, ,, ,,0, ,0, , , ,0,0,0,0,642.920189319, ,642.920189319457
623,1031,"7440,7439,7438",50TH AVE S,341,N,11/9/2015 12:00:00 AM,0,0,3010,2642,3000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1296.4880023, ,1296.48800229737
624,1032,"8958,8959,8960",AURORA AVE N,1952,N,,0,0,40000,0,29000,Estimate,WSDOTSR99, ,, ,,0, ,0, , , ,0,0,0,0,791.751943364,WSDOTSR99,791.75194336465
625,1033,1408,11TH AVE NE,1447,N,5/18/2015 12:00:00 AM,0,0,9868,8721,9900,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,530.979551725, ,530.979551725325
626,1036,21102,S PLUM ST,479,N,,0,0,800,0,800,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,166.08033576, ,166.080335759539
627,1037,12042,OLIVE WAY,869,Y,12/1/2015 12:00:00 AM,0,0,7973,7396,8000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,333.872230836, ,333.87223084893
628,1038,11053,JAMES ST,652,Y,6/26/2018 12:00:00 AM,1266,1278,18323,17704,17900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,321.541553541, ,321.541553527965
629,1039,"8954,8952,8953",AURORA AVE N,1954,N,,0,0,42000,0,30000,Estimate,WSDOTSR99, ,, ,,0, ,0, , , ,0,0,0,0,727.832115023,WSDOTSR99,727.832115023164
630,1040,"14905,14902,14903,14901,14904",E UNION ST,857,N,12/14/2015 12:00:00 AM,0,0,11016,10576,11000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1606.05352615, ,1606.05352615461
631,1041,8554,9TH AVE NE,1711,N,11/17/2015 12:00:00 AM,0,0,9975,9376,10000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,195.478867446, ,195.478867446943
632,1043,7241,5TH AVE,879,Y,6/7/2018 12:00:00 AM,1455,1295,19070,18845,18600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,159.455718055, ,159.455718055484
633,1047,13497,WESTERN AVE,641,Y,7/18/2018 12:00:00 AM,541,581,7103,6344,6900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,305.947518742, ,305.94751874977
634,1049,"4465,4463,4466,4464,4461,4462,4468,4469,4467,4471,4470",3RD AVE NW,1750,N,11/16/2015 12:00:00 AM,0,0,8854,8401,8900,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,4007.23342297, ,4007.23342296925
635,1051,16752,NE 41ST ST,1408,N,,0,0,2000,0,2000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,158.412018741, ,158.412018741095
636,1053,7887,6TH AVE,920,Y,,0,0,7500,0,7500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,179.809022504, ,179.809022492915
637,1054,"10015,10017,10016",DENNY WAY,1046,B,2/3/2015 12:00:00 AM,0,0,33282,32655,33300,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,780.323346853, ,780.323346853142
638,1056,8158,7TH AVE,860,Y,7/9/2014 12:00:00 AM,0,0,8618,7525,8600,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,426.276249276, ,426.276249275907
639,1057,7233,5TH AVE,791,Y,6/7/2018 12:00:00 AM,1351,1149,18043,18191,17600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,425.913180108, ,425.913180100553
640,1059,"4991,5001,4993,4995,4989,4996,4992,4997,4998,4990,4999,4994,5000,4988",32ND AVE NW,1759,N,11/16/2015 12:00:00 AM,0,0,4973,4931,5000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3992.96202879, ,3992.96202879273
641,1060,20486,S JACKSON ST,568,B,10/1/2021 12:00:00 AM,0,0,10571,10435,10600,Study(Normalized21),Sensys, ,, ,,0, ,0, , , ,0,0,0,0,175.424774587, ,175.424774571993
642,1061,"8723,8724",ALASKAN WAY,751,Y,7/17/2018 12:00:00 AM,924,1000,13115,13462,12700,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,849.436338825, ,849.436338825167
643,1062,"11196,11195,11194,11175,11197",LAKE WASHINGTON BLVD,828,N,5/20/2014 12:00:00 AM,0,0,6637,5897,6600,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3213.87381688, ,3213.87381686221
644,1063,"11968,11967,11970,11969",NICKERSON ST,1306,N,10/18/2018 12:00:00 AM,1376,1471,18366,16902,18400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,1730.11605973, ,1730.11605972993
645,1065,"18282,15315,15320,15317,15318,15316,15319,11334,10567","NW 36TH ST,N 36TH ST,LEARY WAY NW,FREMONT PL N",1346,N,12/16/2015 12:00:00 AM,0,0,22626,21093,22600,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2952.65663748, ,2952.65663749171
646,1069,"7201,7199,7203,7198,7202,7200",49TH AVE SW,454,N,2/19/2014 12:00:00 AM,0,0,2386,2287,2400,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3357.45657204, ,3357.4565720443
647,1070,17437,NE 71ST ST,1685,N,10/11/2018 12:00:00 AM,524,536,6590,6399,6600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,289.064814008, ,289.064814022418
648,1073,8720,ALASKAN WAY,665,Y,7/17/2018 12:00:00 AM,708,751,10569,10590,10200,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,305.691357214, ,305.691357221459
649,1074,"9437,9438",BROADWAY,731,N,,0,0,13000,0,13000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,366.905456754, ,366.905456754353
650,1075,"22922,22924,22923",SW TRENTON ST,116,N,4/24/2015 12:00:00 AM,0,0,4191,3986,4200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,999.975965274, ,999.975965259125
651,1079,16727,NE 40TH ST,1377,N,5/4/2018 12:00:00 AM,1317,1333,15932,15396,14600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,161.591091227, ,161.591091227207
652,1080,13737,YALE AVE,1030,B,10/25/2017 12:00:00 AM,1100,1072,16571,16339,16600,Study, , ,, ,,0, ,0, , , ,0,0,0,0,426.155232047, ,426.155232058187
653,1082,23206,W DENNY WAY,1074,B,,0,0,27000,0,27000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,149.16359341, ,149.163593410222
654,1083,"8171,8172",7TH AVE NE,1451,N,1/23/2018 12:00:00 AM,395,581,7056,6933,7100,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1126.95584413, ,1126.95584412604
655,1084,12490,RAYE ST,1266,N,10/11/2018 12:00:00 AM,544,521,7523,7237,7500,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,602.340419654, ,602.34041965414
656,1085,4384,3RD AVE,815,Y,8/30/2017 12:00:00 AM,600,624,8471,8179,8500,Study, , ,, ,,0, ,0, , , ,0,0,0,0,426.010492407, ,426.01049241431
657,1087,20314,S HOLGATE BR,483,N,7/25/2018 12:00:00 AM,1011,1491,14975,13599,14500,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,1133.73907312, ,1133.73907311707
658,1089,"13518,13517,13516,13515",WESTERN AVE,1024,Y,7/30/2018 12:00:00 AM,989,1134,16268,15490,15800,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,1307.60798506, ,1307.60798505793
659,1091,1651,12TH AVE S,596,N,10/4/2018 12:00:00 AM,1668,2162,26343,23388,26300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,309.902351694, ,309.902351691957
660,1096,"10023,13945","DENNY WAY,E DENNY WAY",1035,B,7/31/2015 12:00:00 AM,0,0,22541,22292,22500,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,987.542205534, ,987.542205533416
661,1097,"14518,14517",EAST MONTLAKE PL E,1270,N,,0,0,24500,0,24500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,390.583616669, ,390.583616661373
662,1098,10335,FAIRVIEW AVE,1040,B,6/21/2018 12:00:00 AM,1044,915,13335,12292,13000,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,242.852135174, ,242.852135173566
663,1100,13343,WEST SEATTLE BR WB,2015,N,,0,0,36000,0,0,Estimate,WSB, ,, ,,0, ,0, , , ,0,0,0,0,2047.63751163, ,2047.63751161093
664,1103,10823,HARBOR AV SW OFF RP,4,N,4/7/2015 12:00:00 AM,0,0,4744,0,4700,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,804.484355539, ,804.484355539169
665,1107,12910,STEWART ST,1034,B,,0,0,18800,0,18800,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,104.750720258, ,104.750720257571
666,1110,"3593,3595,3591,3594,3590,3597,3598,3599,3596,3592",24TH AVE NW,1655,N,12/11/2015 12:00:00 AM,0,0,13845,13476,13800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2651.79010253, ,2651.79010252567
667,1114,17995,NE CAMPUS PKWY,1401,N,6/15/2018 12:00:00 AM,166,182,2201,2074,2100,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,279.943279947, ,279.943279962223
668,1115,16933,NE 50TH ST,1507,N,10/4/2018 12:00:00 AM,927,1183,14900,14585,14900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,279.916462997, ,279.91646299659
669,1117,"5450,5451",35TH AVE SW,325,N,10/9/2017 12:00:00 AM,1551,1926,22578,21704,22600,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1098.32151586, ,1098.32151586172
670,1118,8655,AIRPORT WAY S,527,N,2/14/2018 12:00:00 AM,1009,1132,11149,9252,11100,Study, , ,, ,,0, ,0, , , ,0,0,0,0,342.619912023, ,342.619912016344
671,1119,"7989,7991",6TH AVE S,512,N,,0,0,7500,0,7500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,2268.30156729, ,2268.30156729443
672,1120,"8933,8932,8935,8936,8931,8930,8937,8934",AURORA AVE N,1977,N,,0,0,54000,0,34500,Estimate,WSDOTSR99, ,, ,,0, ,0, , , ,0,0,0,0,4330.00283715,WSDOTSR99,4330.00283714818
673,1123,"337633,1214,1216,1266",1ST AVE S,379,N,10/1/2021 12:00:00 AM,0,0,18220,16661,18200,Study(Normalized21),Sensys, ,, ,,0, ,0, , , ,0,0,0,0,5099.50511457, ,5099.50511457295
674,1125,"20316,20318,20317",S HOLGATE ST,490,N,,0,0,9800,0,9800,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1268.52235536, ,1268.52235537387
675,1127,"12973,12972,12969,12971,12970",STONE WAY N,1523,N,,0,0,8400,0,8400,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1433.80581763, ,1433.80581762278
676,1128,16735,NE 40TH ST,1365,N,5/9/2018 12:00:00 AM,164,233,2528,2525,2300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,280.02673989, ,280.026739889551
677,1130,10349,FAIRVIEW AVE N,1123,N,10/29/2014 12:00:00 AM,0,0,21292,19197,21300,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,402.315111238, ,402.315111252797
678,1131,"21129,21130,8123,8122,8124","S PRENTICE ST,64TH AVE S",56,N,11/5/2015 12:00:00 AM,0,0,400,0,400,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2335.90051114, ,2335.9005111284
679,1133,"340533,8053",W SEA BR WB - 6TH AV RP,21,N,4/2/2015 12:00:00 AM,0,0,1798,1586,1800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,899.422994873, ,899.422994873059
680,1135,12723,SAND POINT WAY NE,1666,N,1/9/2018 12:00:00 AM,1333,1492,16217,14954,16200,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1329.04864012, ,1329.04864012235
681,1136,"12911,12912",STEWART ST,1077,B,6/21/2018 12:00:00 AM,1680,746,15441,14697,15100,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,593.706133696, ,593.70613370621
682,1138,12775,SENECA ST,767,Y,12/1/2015 12:00:00 AM,0,0,9624,8894,9600,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,321.605459166, ,321.605459179146
683,1139,"2044,2043",15TH AVE NE,1598,N,1/8/2015 12:00:00 AM,0,0,4785,4358,4800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,328.324468562, ,328.324468561957
684,1140,16732,NE 40TH ST,1387,N,5/18/2015 12:00:00 AM,0,0,18854,16647,18900,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,486.832997788, ,486.832997800003
685,1141,9481,BROOKLYN AVE NE,1445,N,,0,0,7000,0,7000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,535.567545597, ,535.567545597541
686,1142,"15419,15418,15417,15420,15416",N 40TH ST,1393,N,12/14/2015 12:00:00 AM,0,0,12333,11426,12300,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1537.22104625, ,1537.22104624706
687,1143,22645,SW ORCHARD ST,181,N,4/23/2015 12:00:00 AM,0,0,5677,5550,5700,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,416.64805763, ,416.648057628795
688,1147,20485,S JACKSON ST,569,B,,0,0,12000,0,12000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,147.357047636, ,147.357047635548
689,1148,16120,N NORTHGATE WAY,1850,N,,0,0,45000,0,45000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,659.697865994, ,659.697865994443
690,1149,7882,6TH AVE,822,Y,7/8/2015 12:00:00 AM,0,0,13754,13056,13800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,425.691767558, ,425.691767558122
691,1151,15955,N 85TH ST,1773,N,10/20/2018 12:00:00 AM,1927,2262,33303,32538,33300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,661.336324008, ,661.336324008279
692,1153,"17463,17464,17465",NE 73RD ST,1692,N,1/31/2018 12:00:00 AM,165,368,2963,2860,3000,Study, , ,, ,,0, ,0, , , ,0,0,0,0,520.063435389, ,520.063435374606
693,1154,"16748,16747,16746,16745",NE 40TH ST,1390,N,1/23/2018 12:00:00 AM,531,644,7151,6659,7200,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1198.11998773, ,1198.11998773476
694,1157,"1208,1209",1ST AVE S,452,N,,0,0,30000,0,18250,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1544.98585226, ,1544.98585225687
695,1159,"8321,8320,8319",8TH AVE NE,1629,N,4/27/2015 12:00:00 AM,0,0,994,971,1000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,700.99173132, ,700.991731319705
696,1160,"9245,9243,9242,9244,14746,14744,14747,14745,14742,14743","BELMONT AVE E,E ROY ST",1168,N,1/5/2015 12:00:00 AM,0,0,7851,0,7900,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1659.83344274, ,1659.83344272762
697,1161,"20094,20096,20095",S GENESEE ST,317,N,11/14/2017 12:00:00 AM,640,747,8696,8356,8700,Study, , ,, ,,0, ,0, , , ,0,0,0,0,796.827047144, ,796.827047128686
698,1163,11054,JAMES ST,664,Y,3/7/2013 12:00:00 AM,0,0,33487,30421,33500,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,321.540353449, ,321.540353461874
699,1164,8773,SR99 SB,2024,N,6/9/2015 12:00:00 AM,0,0,23394,0,23400,Study - 13-15,WSDOTSR99, ,, ,,0, ,0, , , ,0,0,0,0,2441.18945414, ,2441.18945414058
700,1165,"13728,13727","W SEATTLE BR WB-DELR RP,W SEATTLE BR WB OFF RP",26,N,4/7/2015 12:00:00 AM,0,0,1518,1275,1500,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1326.3772452, ,1326.37724519737
701,1166,"13260,7265","VALLEY ST,5TH AVE N",1172,N,1/6/2015 12:00:00 AM,0,0,7088,6758,7100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,634.96710088, ,634.967100894951
702,1168,14345,E MADISON ST,926,N,2/13/2018 12:00:00 AM,1272,1369,17806,16480,17800,Study, , ,, ,,0, ,0, , , ,0,0,0,0,267.055403768, ,267.055403768296
703,1170,"12344,12340,12342,12343,12341",RAINIER AVE S,558,N,3/9/2015 12:00:00 AM,0,0,35957,34794,36000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1377.71363819, ,1377.71363818481
704,1171,"1242,1241",1ST AVE W,1140,N,6/28/2018 12:00:00 AM,238,304,3611,3552,3500,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,902.538805361, ,902.538805361232
705,1172,"21727,21728,21726,21729",SW ADMIRAL WAY,428,N,2/23/2015 12:00:00 AM,0,0,6203,6389,6200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1291.01935137, ,1291.01935137329
706,1173,11974,NICKERSON TURN RD,1356,N,,0,0,5500,0,5500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,128.160932283, ,128.160932286318
707,1175,12899,STEWART ST,849,Y,7/16/2014 12:00:00 AM,0,0,10186,9734,10200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,322.082864691, ,322.082864681159
708,1176,"13218,13220,13219",UNIVERSITY WAY NE,1415,N,7/31/2018 12:00:00 AM,286,337,4498,4192,4400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,1305.96463949, ,1305.96463949046
709,1177,"5358,5356,5357,5355",35TH AVE NE,1616,N,10/22/2015 12:00:00 AM,0,0,10887,10252,10900,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2652.59246333, ,2652.59246331208
710,1181,"22769,22770,22763,22765,22768,22764,22771,22766,22767",SW ROXBURY ST,74,N,8/10/2015 12:00:00 AM,0,0,17082,15937,17100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,2323.23991089, ,2323.2399108852
711,1182,"14354,14353,14352,14351",E MADISON ST,1061,N,11/1/2017 12:00:00 AM,1042,1147,14244,13454,14200,Study, , ,, ,,0, ,0, , , ,0,0,0,0,1502.48949334, ,1502.48949332305
712,1183,"9361,9366,9363,9360,9365,9362,9364,10574,10575,10576,10577,10573,10578","BOYER AVE E,FUHRMAN AVE E",1309,N,12/2/2015 12:00:00 AM,0,0,10122,9163,10100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,5344.38883218, ,5344.38883219076
713,1185,"1888,1892,1890,1891,1894,1889,1893",14TH AVE NW,1561,N,1/9/2014 12:00:00 AM,0,0,9124,8403,9100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1825.14998718, ,1825.14998718505
714,1186,9758,CONVENTION PL,855,Y,7/8/2015 12:00:00 AM,0,0,3809,3621,3800,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,620.495089906, ,620.495089897619
715,1191,"22889,22892,22890,22895,22893,22897,22896,22891,22887,22898,22888,22894",SW THISTLE ST,135,N,4/24/2015 12:00:00 AM,0,0,4182,3860,4200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3996.54141324, ,3996.54141322925
716,1195,"18607,18602,18610,18604,18605,18608,18601,18606,18609,18603",NW 65TH ST,1647,N,6/22/2015 12:00:00 AM,0,0,11563,11202,11600,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1312.68991634, ,1312.68991632321
717,1196,13182,UNION ST,790,Y,,0,0,16500,0,16500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,321.878988397, ,321.878988409949
718,1197,"18640,18639,5894,18544,5577,5579,5578","NW 65TH ST,38TH AVE NW,NW 61ST ST,36TH AVE NW",1659,N,1/7/2014 12:00:00 AM,0,0,1141,1093,1100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3007.18650241, ,3007.18650241865
719,1200,"5361,5362",35TH AVE NE,1699,N,12/3/2015 12:00:00 AM,0,0,18013,16629,18000,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1325.28542383, ,1325.28542383164
720,1201,"8531,8532,8530,8529",9TH AVE N,1116,N,,0,0,3900,0,3900,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1705.11549841, ,1705.11549841059
721,1203,9658,CHELAN-W SEATTLE BR RP,7,N,4/7/2015 12:00:00 AM,0,0,1499,1233,1500,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,413.130426568, ,413.130426577071
722,1205,14627,E PINE ST,964,B,10/4/2018 12:00:00 AM,756,792,12271,12340,12300,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,271.301711137, ,271.301711151482
723,1207,"13514,13513,13511,13512",WESTERN AVE,994,Y,1/6/2014 12:00:00 AM,0,0,18397,16247,18400,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1231.51699373, ,1231.51699373048
724,1209,9445,BROADWAY,873,N,,0,0,15000,0,15000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,621.564046449, ,621.564046448875
725,1210,10223,ELLIOTT AVE W,1093,N,,0,0,4000,0,4000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,97.1239006347, ,97.1239006346907
726,1211,"1842,1841,1840,1844,1843",14TH AVE,701,N,3/2/2015 12:00:00 AM,0,0,7697,6885,7700,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1644.0112606, ,1644.01126059981
727,1213,9660,CHERRY ST,638,Y,6/5/2018 12:00:00 AM,220,333,3282,3123,3200,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.015688474, ,322.015688486759
728,1214,11585,MADISON ST,721,Y,,0,0,10300,0,10300,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,322.282933508, ,322.2829334949
729,1222,21739,SW ALASKA ST,302,N,6/1/2018 12:00:00 AM,326,384,4947,4872,4800,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,334.182832628, ,334.182832642829
730,1223,13180,UNION ST,773,Y,7/16/2018 12:00:00 AM,632,528,8174,8516,7900,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,322.067022836, ,322.06702282282
731,1226,"10860,10859,10862,10861",HARVARD AVE E,1308,N,10/22/2014 12:00:00 AM,0,0,8688,8053,8700,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1787.08046883, ,1787.0804688266
732,1228,7888,6TH AVE,935,Y,7/26/2018 12:00:00 AM,892,695,10968,10535,10600,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,246.180113697, ,246.180113696916
733,1229,"1921,1922,1920",14TH AVE S,594,N,,0,0,10000,0,10000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,904.234697431, ,904.234697430647
734,1233,13149,THORNDYKE AVE W,1215,N,6/27/2018 12:00:00 AM,213,299,3250,3123,3200,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,388.960174036, ,388.960174045552
735,1235,"18038,18039,18040,18041,15295,15297,15296,16140,16138,16141,16139,16137,16135,16136","NE PACIFIC ST,N 34TH ST,N PACIFIC ST",1374,N,10/20/2015 12:00:00 AM,0,0,11227,10181,11200,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,4571.34994794, ,4571.34994794003
736,1236,"8939,8938,8940",AURORA AVE N,1976,N,,0,0,50000,0,32000,Estimate,WSDOTSR99, ,, ,,0, ,0, , , ,0,0,0,0,1303.55186359,WSDOTSR99,1303.55186359557
737,1237,"22250,22249,22248,22246,22247",SW GRAHAM ST,237,N,6/28/2018 12:00:00 AM,147,196,2191,2084,2100,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,1649.19947864, ,1649.19947862758
738,1239,"16810,16811",NE 43RD ST,1420,N,6/29/2018 12:00:00 AM,111,135,1468,1298,1400,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,565.089903924, ,565.089903938631
739,1242,"6232,6233",4TH AVE S,546,N,7/29/2015 12:00:00 AM,0,0,26148,23658,26100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,1492.48756057, ,1492.48756056623
740,1244,2201,15TH AV W NB OFF RP,1985,N,6/26/2018 12:00:00 AM,404,591,7176,6858,7000,Study(Normalized18), , ,, ,,0, ,0, , , ,0,0,0,0,700.689063016, ,700.689063013789
741,1246,"9057,9058",BANNER WAY NE,1733,N,,0,0,14000,0,14000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,817.784687367, ,817.784687366935
742,1247,"21326,21324,21327,21325",S SPOKANE ST,392,N,,0,0,10000,0,10000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1351.95037059, ,1351.95037058822
743,1250,13709,WOODLAWN AVE NE,1675,N,,0,0,5000,0,5000,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,106.25630288, ,106.256302879786
744,1251,4378,3RD AVE,694,Y,8/24/2017 12:00:00 AM,618,564,7930,7876,7900,Study, , ,, ,,0, ,0, , , ,0,0,0,0,305.999458864, ,305.999458864033
745,1252,"12562,12563,12564",REPUBLICAN ST,1115,N,,0,0,4500,0,4500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,1029.51937017, ,1029.5193701857
746,1253,13527,WESTLAKE AVE,945,Y,,0,0,4500,0,4500,Estimate, , ,, ,,0, ,0, , , ,0,0,0,0,325.862217403, ,325.862217405233
747,1254,"12401,12403,12408,12399,12407,12406,12400,12405,12402,12398,12404",RAINIER AVE S,205,N,7/22/2015 12:00:00 AM,0,0,21066,20059,21100,Study - 13-15, , ,, ,,0, ,0, , , ,0,0,0,0,3658.71204405, ,3658.71204404869
